Date,dia,hora,Suma de sms,Suma de whatsapp_activo,Suma de whatsapp_inactivo,Suma de email,Suma de total_sessions,Suma de purchase_intention,Suma de funnel_purchase,Suma de funnel_viewItem,Suma de funnel_checkout,Suma de funnel_cart
2025-01-24 00:00:00,4-Viernes,18,136,11497,1415,136,,,,,,
2025-01-26 00:00:00,6-Domingo,18,141,11492,239,141,,,,,,
2025-01-22 00:00:00,2-Miércoles,20,56,7640,0,56,1688,1402,44,1073,21,174
2025-01-22 00:00:00,2-Miércoles,19,102,3852,0,102,671,491,17,323,5,69
2025-01-12 00:00:00,6-Domingo,20,8,3560,0,8,699,546,33,361,10,78
2025-01-17 00:00:00,4-Viernes,11,118,3482,211,118,600,407,20,274,9,40
2025-01-14 00:00:00,1-Martes,17,11,2588,0,11,571,415,6,265,11,75
2025-01-17 00:00:00,4-Viernes,19,662,849,0,662,506,322,11,175,4,52
2025-01-17 00:00:00,4-Viernes,10,328,1,0,328,362,173,7,69,4,26
2025-01-08 00:00:00,2-Miércoles,12,0,0,0,0,347,175,7,69,7,35
2025-01-08 00:00:00,2-Miércoles,13,4,0,0,4,300,148,10,65,2,25
2025-01-08 00:00:00,2-Miércoles,14,1,0,0,1,293,144,8,73,1,23
2025-01-08 00:00:00,2-Miércoles,15,2,0,0,2,331,168,5,63,1,34
2025-01-08 00:00:00,2-Miércoles,16,5,0,0,5,389,193,14,79,4,41
2025-01-08 00:00:00,2-Miércoles,17,3,0,0,3,392,219,6,104,2,38
2025-01-08 00:00:00,2-Miércoles,18,6,0,0,6,473,264,15,116,4,53
2025-01-08 00:00:00,2-Miércoles,19,3,0,0,3,410,250,15,106,9,53
2025-01-08 00:00:00,2-Miércoles,20,4,0,0,4,446,265,17,116,3,45
2025-01-08 00:00:00,2-Miércoles,21,3,0,2,3,439,248,20,111,3,41
2025-01-08 00:00:00,2-Miércoles,22,1,0,0,1,328,198,12,88,4,38
2025-01-08 00:00:00,2-Miércoles,23,4,0,0,4,274,165,12,77,4,26
2025-01-09 00:00:00,3-Jueves,00,1,0,0,1,158,89,5,38,2,19
2025-01-09 00:00:00,3-Jueves,01,1,0,0,1,105,55,3,18,3,11
2025-01-09 00:00:00,3-Jueves,02,1,0,0,1,60,36,1,14,0,10
2025-01-09 00:00:00,3-Jueves,03,1,0,0,1,62,31,1,16,1,4
2025-01-09 00:00:00,3-Jueves,04,1,0,0,1,64,30,0,10,1,5
2025-01-09 00:00:00,3-Jueves,05,1,0,0,1,107,47,2,17,1,11
2025-01-09 00:00:00,3-Jueves,06,1,0,0,1,141,67,2,30,1,11
2025-01-09 00:00:00,3-Jueves,07,5,0,0,5,205,103,2,46,1,19
2025-01-09 00:00:00,3-Jueves,08,3,0,0,3,255,119,2,51,5,11
2025-01-09 00:00:00,3-Jueves,09,4,0,10,4,291,132,10,50,0,30
2025-01-09 00:00:00,3-Jueves,10,5,0,0,5,294,142,5,42,4,34
2025-01-09 00:00:00,3-Jueves,11,2,0,0,2,307,129,5,49,2,29
2025-01-09 00:00:00,3-Jueves,12,6,0,15,6,312,167,8,72,6,29
2025-01-09 00:00:00,3-Jueves,13,3,0,0,3,281,133,4,71,3,17
2025-01-09 00:00:00,3-Jueves,14,4,0,0,4,304,132,6,57,5,12
2025-01-09 00:00:00,3-Jueves,15,2,0,0,2,293,133,5,52,2,25
2025-01-09 00:00:00,3-Jueves,16,3,0,20,3,356,166,10,62,4,41
2025-01-09 00:00:00,3-Jueves,17,5,0,0,5,368,182,2,73,4,37
2025-01-09 00:00:00,3-Jueves,18,10,0,21,10,357,202,10,95,2,35
2025-01-09 00:00:00,3-Jueves,19,8,0,0,8,404,250,16,111,3,42
2025-01-09 00:00:00,3-Jueves,20,5,0,0,5,426,263,11,107,8,46
2025-01-09 00:00:00,3-Jueves,21,10,0,3,10,403,247,10,104,3,53
2025-01-09 00:00:00,3-Jueves,22,6,0,0,6,345,194,10,83,5,44
2025-01-09 00:00:00,3-Jueves,23,1,0,0,1,258,143,4,60,4,25
2025-01-10 00:00:00,4-Viernes,00,1,0,0,1,162,110,3,46,4,25
2025-01-10 00:00:00,4-Viernes,01,2,0,0,2,75,39,2,15,0,4
2025-01-10 00:00:00,4-Viernes,02,2,0,0,2,78,39,1,15,1,7
2025-01-10 00:00:00,4-Viernes,03,2,0,0,2,81,38,3,15,0,6
2025-01-10 00:00:00,4-Viernes,04,2,0,0,2,81,30,0,9,0,6
2025-01-10 00:00:00,4-Viernes,05,2,0,0,2,178,51,1,18,0,8
2025-01-10 00:00:00,4-Viernes,06,0,0,0,0,201,69,3,29,0,8
2025-01-10 00:00:00,4-Viernes,07,4,0,0,4,281,113,5,42,0,19
2025-01-10 00:00:00,4-Viernes,08,6,0,0,6,325,146,5,65,3,28
2025-01-10 00:00:00,4-Viernes,09,2,0,5,2,273,134,2,52,2,28
2025-01-10 00:00:00,4-Viernes,10,1,0,0,1,288,128,8,43,4,21
2025-01-10 00:00:00,4-Viernes,11,5,0,0,5,296,150,4,69,3,35
2025-01-10 00:00:00,4-Viernes,12,6,0,5,6,282,134,7,51,3,20
